Vineyard,Wine,quality,color
West,1480,5,red
East,553,6,white
West,1457,7,white
South,1048,7,white
East,1420,7,white
South,1531,5,white
North,1089,6,red
South,99,6,white
East,810,5,white
East,709,4,white
North,1105,5,red
East,1094,6,white
South,174,7,white
West,328,6,white
West,54,5,red
East,194,5,red
South,382,5,red
South,1174,5,white
South,1098,5,white
South,856,6,white
East,1186,7,white
North,1435,4,white
South,430,6,red
North,523,7,white
North,542,6,white
North,1284,5,white
North,1269,6,white
South,1016,6,white
East,1284,5,white
South,1486,5,red
South,385,5,white
South,519,6,white
South,673,6,white
South,869,7,white
North,505,5,red
North,993,6,white
West,104,6,red
North,913,6,white
West,1478,6,red
North,280,5,white
East,61,6,white
East,282,7,white
North,924,6,white
West,675,6,white
West,390,6,white
South,329,7,red
East,114,7,white
South,779,6,red
South,1160,6,white
South,1513,6,white
South,375,6,red
West,727,6,white
East,1466,6,white
West,956,7,white
South,1339,7,white
East,1199,6,white
North,1574,7,red
South,1199,7,white
South,1622,7,white
North,557,6,white
East,285,5,white
East,1504,6,red
North,626,6,red
East,110,6,white
North,578,5,white
North,94,6,white
East,1602,4,white
South,314,6,white
West,1377,5,white
North,196,8,white
West,137,6,white
North,1553,6,red
West,1605,6,white
East,1259,6,red
West,533,6,white
South,217,5,white
East,255,7,white
North,1520,5,red
North,611,5,red
East,639,6,white
East,463,6,white
East,768,5,red
East,635,6,red
South,50,6,white
East,1516,6,white
North,102,7,red
West,1223,5,red
West,797,5,white
North,657,5,red
East,668,7,white
North,308,7,white
West,1193,5,white
South,901,5,red
East,30,5,red
North,91,7,white
West,1521,6,white
West,791,6,white
East,1189,6,white
East,159,5,white
West,1453,4,white
South,784,5,red
East,261,6,white
West,1609,5,white
South,390,5,white
South,1517,6,white
West,1209,5,white
East,624,5,white
West,522,6,red
North,963,6,white
West,1475,8,white
East,87,5,white
East,3,5,red
North,692,6,white
South,1357,6,white
East,452,5,white
South,943,6,white
North,586,6,white
West,1558,5,white
South,1215,5,red
East,549,5,red
North,1241,8,white
South,598,6,red
West,742,6,red
East,214,6,white
South,1443,6,white
West,1220,6,white
West,1197,6,white
East,1434,5,white
East,293,6,white
East,852,6,white
West,685,6,white
West,1608,5,red
West,39,7,white
South,1193,6,white
North,1228,5,white
East,573,5,white
East,760,6,white
West,461,6,white
East,1023,5,white
East,251,5,red
East,1459,6,white
North,1006,5,white
East,693,5,white
