Vineyard,Wine,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
West,1480,7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4
East,553,7,0.24,0.34,1.4,0.031,27,107,0.99,3.06,0.39,11.9
West,1457,6.8,0.13,0.39,1.4,0.034,19,102,0.99121,3.23,0.6,11.3
South,1048,5.8,0.22,0.29,0.9,0.034,34,89,0.98936,3.14,0.36,11.1
East,1420,6.2,0.35,0.31,2.6,0.036,37,92,0.98938,3.27,0.53,12.8
South,1531,5.8,0.6,0,1.3,0.044,72,197,0.99202,3.56,0.43,10.9
North,1089,10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1
South,99,7.2,0.685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1
East,810,5.8,0.22,0.3,1.1,0.047,36,131,0.992,3.26,0.45,10.4
East,709,7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5
North,1105,7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3
East,1094,6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3
South,174,6,0.34,0.32,3.8,0.044,13,116,0.99108,3.39,0.44,11.8
West,328,6.9,0.25,0.34,1.3,0.035,27,82,0.99045,3.18,0.44,12.2
West,54,6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5
East,194,13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6
South,382,6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6
South,1174,6.4,0.26,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1
South,1098,7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8
South,856,7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7
East,1186,6.8,0.475,0.33,3.95,0.047,16,81,0.98988,3.23,0.53,13.4
North,1435,6,0.615,0.04,0.8,0.032,8,50,0.99036,3.14,0.4,11
South,430,11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7
North,523,6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7
North,542,6.9,0.31,0.33,12.7,0.038,33,116,0.9954,3.04,0.65,10.4
North,1284,7.1,0.14,0.35,1.4,0.039,24,128,0.99212,2.97,0.68,10.4
